,cik_str,ticker,Company
202,797468,OXY,Occidental Petroleum Corp /De/
203,1061219,EPD,Enterprise Products Partners L.P.
204,1075124,TRI,Thomson Reuters Corp /Can/
205,1596532,ANET,"Arista Networks, Inc."
206,1129137,AMX,America Movil Sab De Cv/
207,1001085,BN,Brookfield Corp /On/
208,9631,BNS,Bank Of Nova Scotia
209,831259,FCX,Freeport-Mcmoran Inc
210,1545460,OLCLY,"Oriental Land Co., Ltd./Adr"
211,927653,MCK,Mckesson Corp
212,27419,TGT,Target Corp
213,715153,HMC,Honda Motor Co Ltd
214,66740,MMM,3M Co
215,898173,ORLY,O Reilly Automotive Inc
216,32604,EMR,Emerson Electric Co
217,1132597,ITUB,Itau Unibanco Holding S.A.
218,36104,USB,Us Bancorp De
219,1038357,PXD,Pioneer Natural Resources Co
220,1534701,PSX,Phillips 66
221,1001250,EL,Estee Lauder Companies Inc
222,1640147,SNOW,Snowflake Inc.
223,1648416,RACE,Ferrari N.V.
224,1650372,TEAM,Atlassian Corp
225,1002242,E,Eni Spa
226,882835,ROP,Roper Technologies Inc
227,1058090,CMG,Chipotle Mexican Grill Inc
228,723254,CTAS,Cintas Corp
229,1413447,NXPI,Nxp Semiconductors N.V.
230,1858681,APO,"Apollo Global Management, Inc."
231,31462,ECL,Ecolab Inc.
232,820313,APH,Amphenol Corp /De/
233,1571996,DELL,Dell Technologies Inc.
234,1035002,VLO,Valero Energy Corp/Tx
235,37996,F,Ford Motor Co
236,1549802,JD,"Jd.Com, Inc."
237,30554,CTA-PA,"Eidp, Inc."
238,76334,PH,Parker Hannifin Corp
239,1395064,TAK,Takeda Pharmaceutical Co Ltd
240,1262039,FTNT,"Fortinet, Inc."
241,354190,AJG,Arthur J. Gallagher & Co.
242,1397187,LULU,Lululemon Athletica Inc.
243,713676,PNC,"Pnc Financial Services Group, Inc."
244,1947559,ANZGY,Anz Group Holdings Limited/Adr
245,4447,HES,Hess Corp
246,1329099,BIDU,"Baidu, Inc."
247,1039765,ING,Ing Groep Nv
248,1835632,MRVL,"Marvell Technology, Inc."
249,1393311,PSA,Public Storage
250,1099219,MET,Metlife Inc
251,1060391,RSG,"Republic Services, Inc."
252,16918,STZ,"Constellation Brands, Inc."
253,1260221,TDG,Transdigm Group Inc
254,1466258,TT,Trane Technologies Plc
255,1004315,NGG,National Grid Plc
256,899108,PRNDY,Pernod Ricard S A /Fi
257,68505,MSI,"Motorola Solutions, Inc."
258,1418135,KDP,Keurig Dr Pepper Inc.
259,866787,AZO,Autozone Inc
260,1467858,GM,General Motors Co
261,1222333,GLD,Spdr Gold Trust
262,878927,ODFL,"Old Dominion Freight Line, Inc."
263,844551,WDS,Woodside Energy Group Ltd
264,1783180,CARR,Carrier Global Corp
265,769397,ADSK,"Autodesk, Inc."
266,1335730,MFG,Mizuho Financial Group Inc
267,842180,BBVA,"Banco Bilbao Vizcaya Argentaria, S.A."
268,1032208,SRE,Sempra
269,702165,NSC,Norfolk Southern Corp
270,4977,AFL,Aflac Inc
271,311337,SU,Suncor Energy Inc
272,1099800,EW,Edwards Lifesciences Corp
273,1565025,ABEV,Ambev S.A.
274,75362,PCAR,Paccar Inc
275,723531,PAYX,Paychex Inc
276,1408198,MSCI,Msci Inc.
277,827054,MCHP,Microchip Technology Inc
278,5272,AIG,"American International Group, Inc."
279,766704,WELL,Welltower Inc.
280,1063761,SPG,Simon Property Group Inc /De/
281,47111,HSY,Hershey Co
282,900075,CPRT,Copart Inc
283,7084,ADM,Archer-Daniels-Midland Co
284,1004980,PCG,Pg&E Corp
285,1276187,ET,Energy Transfer Lp
286,55785,KMB,Kimberly Clark Corp
287,1051470,CCI,Crown Castle Inc.
